Subuser,Date,Bandwidth Usage (GB)
282601zzxz,2022-01,0.011800781
yeshkicksd874,2020-11,0.180836914
nextjsm0942966,2020-08,1.331390625
napincus7bf65,2020-08,0.536054688
guoliangli8023a6726,2020-06,8.26327832
indecisivesupreme9b6f6,2020-08,0.000955078
tangchristophe5b91c,2020-05,2.265705078
kcinmi11ab9a6,2020-04,2.022229492
morikami671564e,2020-07,0.066949219
alanlopez344372d46,2020-04,8.755433594
jam1oaa05d,2020-12,1.178882813
tannerearl14abba,2020-07,1.892103516
johnson62000ecef6,2020-05,0.408589844
dartm3df36,2020-07,0.546758789
wongyunghang720c5,2020-10,1.731352539
officialyzconcepte4a26,2020-08,4.504939453
useless61462076,2020-06,0.085011719
ryoub6143834,2020-07,0.026586914
officialyzconcepte4a26,2020-07,2.552025391
gsf164468938e6,2020-05,0.096847656
dylanlangevin15204,2020-10,2.88156543
teeyiping123d0f1,2020-04,0.812456055
merlionaqv77096,2020-04,1.185791992
yolandajoe272c22,2020-09,3.22E-05
bradyeng9eb7a,2020-09,0.395800781
cyuan02309486,2020-07,0.000267578
unseensecurecce66,2020-07,0.000592773
ohiogb6491,2020-10,0.125798828
renolosangeles5d426,2020-07,1.578203125
nielstrydom0172a7,2020-10,0.270186523
michael2mccaskill0a1b6,2020-05,0.80659082
leeelica5806,2020-09,0.226677734
barberevanrb902,2020-09,0.821496094
tuoalexyu3f58,2020-07,2.299485352
jahli_vasquez0752,2020-05,0.0161875
jjimenez42189e6b6,2020-05,1.172337891
qqmax1681,2020-05,0.135551758
cchendavid025868,2020-11,4.912365234
reklessi07af1e,2020-08,1.593722656
jackyyu010905526,2020-06,1.953995117
brownjuvaunte37b722,2020-07,0.020222656
raajathwal2af66,2020-09,7.800664063
nellomazzarello5dc76,2020-09,1.644865234
uhassan8461a9zzxz,2022-01,3.559655273
eggsuper2008f8c56,2020-08,1.410401367
vibeclan05a8a1zzxz,2022-01,27.54246875
palmerzarrab8b,2020-05,1.127210938
monvector214a30,2020-12,0.337456055
huyphan004dcd,2020-09,2.742339844
m1loou898f3c6,2020-07,0.599518555
zarinali912c7066,2020-07,2.346708984
awofford2013645d6,2020-08,1.258938477
glpaynec143,2020-08,4.204885742
kuruttakinga7d56,2020-07,0.176668945
garciarubz6c3b,2020-09,3.337348633
rohanmathew103ae54,2020-09,2.383132813
karimramy205d3,2020-09,2.269375977
aymanghamraoui1234,2020-12,12.44268848
serranojason6a77d,2020-12,2.808075195
ikairi331014,2020-04,0.297537109
sdzkicks14c7,2020-08,5.504470703
proxies348e,2020-04,0.071412109
further1683865,2020-07,18.38724805
sobad1001361a6,2020-04,2.294780273
cristianmanzon46c4,2020-05,0.216654297
jayabestemangoold6a98,2020-06,0.936887695
jdelasalas_24b71b6,2020-08,0.003206055
dude46700b0fa,2020-12,3.281085938
jordanllo6b9b,2020-08,0.150986328
splashforceburner9998443,2020-11,0.428849609
linjinpeng_ljp522e6,2020-05,0.163574219
nathaniel246810ba2c6,2020-08,0.696902344
andreifernandez93618,2020-04,0.364742188
calvinkiefer2b192,2020-08,0.346347656
rjcooks4548af,2020-08,3.156845703
drakemcnamaraac9f6,2020-04,2.82915625
komaedaning23078,2020-10,2.759691406
ericlattimore29b601,2020-07,0.681411133
chuhsuanwen64196,2020-10,0.219355469
david_f100007586,2020-07,0.097635742
chen540875932ce626,2020-06,0.046731445
