Subuser,Date,"Bandwidth Usage"
00cactusjack002eda,2020-09,0.824944336
00cactusjack002eda,2020-10,1.459173828
02thpickc8a76,2020-04,0.763724609
02thpickc8a76,2020-05,0.200231445
02thpickc8a76,2020-06,11.41793164
0303rockyd2bf,2020-10,1.737064453
0stingrayhunter03ea5,2020-04,1.243245117
1.11E+13,2020-10,5.391207031
1.90E+14,2020-08,0.678741211
1005923zz,2021-12,2.360916992
1005923zzxz,2022-01,0.545953125
101096629643a56,2020-04,0.072435547
101096629643a56,2020-07,2.280601563
101096629643a56,2020-08,0.67272168
1012805zz,2021-12,3.88403125
1012805zzxz,2022-01,2.843416992
1019075zzxz,2022-01,0.003754883
1028abner5d50,2020-09,2.631017578
1033622zzxz,2022-01,0.025244141
1036901zz,2021-12,6.288388672
1036901zzxz,2022-01,2.720731445
1043978zzxz,2022-01,4.000879883
1048007zzxz,2022-01,0.786176758
1049792zz,2021-12,0.021553711
1049792zzxz,2022-01,0.271007813
1058816zzxz,2022-01,1.542848633
1064264zzxz,2022-01,0
1069820zzxz,2022-01,2.186026367
1072428521aa4b2a,2020-04,2.647602539
1072428521aa4b2a,2020-05,1.857083984
1084211zz,2021-12,3.453197266
1084211zzxz,2022-01,1.072207031
1084370zzxz,2022-01,29.91039551
1088579zz,2021-12,0.001012695
1088579zzxz,2022-01,0.856974609
108chocolateraind6176,2020-04,2.063160156
1093055zz,2021-12,1.130331055
1093055zzxz,2022-01,3.291198242
10yuanjustin238de8,2020-09,2.527962891
10yuanjustin238de8,2020-10,1.068379883
1124456zz,2021-12,5.872099609
1130639zz,2021-12,1.423713867
1150235zz,2021-12,10.05010352
1151261zzxz,2022-01,0.001069336
1180493zz,2021-12,2.598317383
1191235272eeb06,2020-07,1.388648438
1193357zz,2021-12,0.243943359
1193357zzxz,2022-01,0.216072266
1193831zz,2021-12,0.764527344
1193831zzxz,2022-01,1.479803711
1194548zz,2021-12,0.150616211
1195403zz,2021-12,0.012222656
1197215zz,2021-12,9.735449219
11julian99a88e,2020-12,0.002855469
1202066zzxz,2022-01,0
120307365dec96,2020-04,0.841189453
1205714zz,2021-12,0.047333008
1206923zzxz,2022-01,0.023045898
1212866zzxz,2022-01,0.257447266
1218566zz,2021-12,1.393973633
1219supreme7f746,2020-04,0.012246094
1219supreme7f746,2020-05,7.314167969
1219supreme7f746,2020-06,0.280055664
1219supreme7f746,2020-07,0.110461914
1219supreme7f746,2020-08,3.587147461
1219supreme7f746,2020-09,5.911913086
1222333000fc05,2020-08,2.356935547
1230956zz,2021-12,4.375636719
1231574zzxz,2022-01,0.663783203
1236929zzxz,2022-01,0.13712793
1238363zz,2021-12,5.005572266
1238363zzxz,2022-01,1.613651367
1241396zz,2021-12,0.471633789
1241396zzxz,2022-01,1.230073242
1243802zz,2021-12,0.005393555
1249025zz,2021-12,0.995993164
1276872311327a,2020-05,1.631517578
1276872311327a,2020-06,1.287181641
1276872311327a,2020-07,0.295249023
1281887zz,2021-12,0.902475586
1281887zzxz,2022-01,0.020486328
1289780zz,2021-12,0.299202148
1289780zzxz,2022-01,1.899978516
1291880zz,2021-12,0.442146484
1291880zzxz,2022-01,0.305361328
1294442zzxz,2022-01,1.084192383
1314293zz,2021-12,16.59599707
1314293zzxz,2022-01,1.709261719
1319807zzxz,2022-01,0.810446289
1342571zz,2021-12,0.329347656
1342571zzxz,2022-01,0.04253418
1345052zz,2021-12,0.022018555
1345052zzxz,2022-01,1.068640625
1400426zzxz,2022-01,0.353173828
140222rle949,2020-11,0.125765625
140222rle949,2020-12,3.566354492
14loartea3bdbzz,2021-12,4.710335938
159905411002ef9,2020-05,0.00190332
159905411002ef9,2020-06,0.003082031
159905411002ef9,2020-07,0.108282227
1640205582de39,2020-07,2.887400391
1640205582de39,2020-08,1.057230469
1640205582de39,2020-09,0.322166992
17aalmana2f64,2022-01,0.00128125
19861937949b1b,2020-08,7.016709961
19denzel689400,2020-08,3.563373047
19denzel689400,2020-09,2.341240234
19denzel689400,2020-10,0.053011719
19denzel68b6f8,2020-12,13.57223242
19denzel68b6f8,2021-01,0.000975586
1haiphamc812zz,2021-12,15.82169531
1marcusb1189a8,2021-12,2.969918945
1marcusb1189a8xz,2022-01,1.310692383
2.44E+13,2020-04,6.033022461
2.44E+13,2020-05,0.220329102
2.44E+13,2020-06,2.657587891
2.44E+13,2020-08,1.171235352
2.44E+13,2020-09,3.197119141
2.50E+13,2020-04,0.017532227
2.50E+13,2020-05,0.037723633
2.50E+13,2020-06,0.008
2.50E+13,2020-07,0.014799805
2005gmane898zz,2021-12,9.259634766
22jadrick1413cf,2020-07,3.690889648
22jadrick149c22,2020-08,4.597149414
23direct4503,2020-08,2.837878906
